1,,"1,1",,,1,1,,,,,,,,,,,,
0,major+type,"2,2",,,2,2,,,,,,,,,,,,
1,,0,,,0,0,,,,,,,,,,,,
1,,"1,1",,,1,1,,,,,,,,,,,,
1,,"1,1",,,1,1,,,,,,,,,,,,
1,,"2,2",,,2,2,,,,,,,,,,,,
1,,"1,1",,,1,1,,,,,,,,,,,,
0,register,"1,1",,,1,1,,,,,,,,,,,,
1,,"1,1",,,1,1,,,,,,,,,,,,
0,type_edu,"1,1",,,1,1,,,,,,,,,,,,
1,,"2,5",li hóa av,,2,5,,,,,,,,,,,,
1,,"0,1",hóa,,0,1,,,,,,,,,,,,
1,,"1,1",,,1,1,,,,,,,,,,,,
1,,0,,,0,0,,,,,,,,,,,,
1,,0,,,0,0,,,,,,,,,,,,
1,,"0,1",hóa,,0,1,,,,,,,,,,,,
1,,"0,1",hóa,,0,1,,,,,,,,,,,,
1,,0,,,0,0,,,,,,,,,,,,
1,,"2,2",,,2,2,,,,,,,,,,,,
0,major + career,"1,1",,,1,1,,,,,,,,,,,,
1,,"1,1",,,1,1,,,,,,,,,,,,
1,,"1,1",,,1,1,,,,,,,,,,,,
0,major+type,"1,3",clc + đại trà,,1,3,,,,,,,,,,,,
1,,0,,,0,0,,,,,,,,,,,,
1,,"0,1",xây dựng,,0,1,,,,,,,,,,,,
0,case,"1,1",,,1,1,,,,,,,,,,,,
0,career,"1,1",,,1,1,,,,,,,,,,,,
1,,"2,2",ielts~anh văn,,2,2,,,,,,,,,,,,
0,major,"1,1",,,1,1,,,,,,,,,,,,
1,,"1,1",,,1,1,,,,,,,,,,,,
0,career,"0,1",kỹ thuật xây dựng,,0,1,,,,,,,,,,,,
0,major,"2,2",,,2,2,,,,,,,,,,,,
1,career,"1,1",,,1,1,,,,,,,,,,,,
0,major + type,"0,1",hóa,,0,1,,,,,,,,,,,,
0,career,0,,,0,0,,,,,,,,,,,,
1,,"1,1",,,1,1,,,,,,,,,,,,
1,,"1,1",,,1,1,,,,,,,,,,,,
1,,"2,2",,,2,2,,,,,,,,,,,,
1,,"1,1",,,1,1,,,,,,,,,,,,
1,,"0,1",logistics,,0,1,,,,,,,,,,,,
0,major+career,"2,2",,,2,2,,,,,,,,,,,,
1,,"1,1",,,1,1,,,,,,,,,,,,
1,,"1,2",công nghệ ô tô,,1,2,,,,,,,,,,,,
1,,"1,1",,,1,1,,,,,,,,,,,,
1,,"0,1",điện,,0,1,,,,,,,,,,,,
1,,0,,,0,0,,,,,,,,,,,,
0,career,"0,1",công nghệ thông tin,,0,1,,,,,,,,,,,,
1,(or type_edu),0,,,0,0,,,,,,,,,,,,
0,career,"1,1",kỹ thuật ~ kỹ thuật y sinh,,1,1,,,,,,,,,,,,
0,career,"0,1",công nghệ ô tô,,0,1,,,,,,,,,,,,
0,case,0,,,0,0,,,,,,,,,,,,
1,,0,,,0,0,,,,,,,,,,,,
1,,"1,2",anh văn ~ tiếng anh,,1,2,,,,,,,,,,,,
0,case,"0,1",công nghệ ô tô,,0,1,,,,,,,,,,,,
1,,"0,1",công nghệ thông tin,,0,1,,,,,,,,,,,,
0,case,"1,1",,,1,1,,,,,,,,,,,,
0,case,"0,1",ưu tiên xét tuyển ~ xét tuyển thẳng,,0,1,,,,,,,,,,,,
1,,"0,1",tự động hóa,,0,1,,,,,,,,,,,,
1,,0,,,0,0,,,,,,,,,,,,
0,case,"1,3","kĩ thuật máy tính, đánh giá năng lực",,1,3,,,,,,,,,,,,
0,case,"3,3",,,3,3,,,,,,,,,,,,
0,type_edu,0,,,0,0,,,,,,,,,,,,
0,case,0,,,0,0,,,,,,,,,,,,
1,,"2,2",,,2,2,,,,,,,,,,,,
0,type,"0,1",clc,,0,1,,,,,,,,,,,,
0,case,,,,0,0,,,,,,,,,,,,
1,,"2,2",,,2,2,,,,,,,,,,,,
0,type+major,"1,2",chính quy ~ đại trà,,1,2,,,,,,,,,,,,
1,,"2,2",,,2,2,,,,,,,,,,,,
1,,"0,1",tuyển xét thẳng  ~ xét tuyển thẳng,,0,1,,,,,,,,,,,,
1,,"1,2",công nghệ thông tin,,1,2,,,,,,,,,,,,
0,tuition,"2,2",,,2,2,,,,,,,,,,,,
1,,"0,1",ưu tiên khi xét học bạ,,0,1,,,,,,,,,,,,
1,,"1,2",liên kết quốc tế,,1,2,,,,,,,,,,,,
1,,"2,3",công nghệ thông tin,,2,3,,,,,,,,,,,,
1,,"2,2",,,2,2,,,,,,,,,,,,
1,,"1,1",,,1,1,,,,,,,,,,,,
0,career,"0,2",clc + đại trà,,0,2,,,,,,,,,,,,
1,,"0,1",xét tuyển thẳng,,0,1,,,,,,,,,,,,
1,,"2,2",,,2,2,,,,,,,,,,,,
1,,"2,2",,,2,2,,,,,,,,,,,,
1,,"1,1",,,1,1,,,,,,,,,,,,
1,,"1,1",,,1,1,,,,,,,,,,,,
1,,"2,2",,,2,2,,,,,,,,,,,,
0,type,"1,2",liên kết ~ liên kết quốc tế,,1,2,,,,,,,,,,,,
0,case,"1,2",đánh giá năng lực,,1,2,,,,,,,,,,,,
0,case,"2,2",,,2,2,,,,,,,,,,,,
0,case,"1,1",,,1,1,,,,,,,,,,,,
1,,"2,2",,,2,2,,,,,,,,,,,,
1,,"1,1",,,1,1,,,,,,,,,,,,
1,,"1,1",,,1,1,,,,,,,,,,,,
1,,"2,2",,,2,2,,,,,,,,,,,,
1,*,"2,3",anh văn,,2,3,,,,,,,,,,,,
1,,"1,1",,,1,1,,,,,,,,,,,,
1,,"1,1",,,1,1,,,,,,,,,,,,
0,case,"1,1",,,1,1,,,,,,,,,,,,
1,,"1,2",,,1,2,,,,,,,,,,,,
0,case (or subject),0,nội dung đánh giá năng lực,,0,0,,,,,,,,,,,,
1,,0,,,0,0,,,,,,,,,,,,
1,,"2,2",,,2,2,,,,,,,,,,,,
1,,0,,,0,0,,,,,,,,,,,,
1,,"1,1",,,1,1,,,,,,,,,,,,
1,,"1,1",,,1,1,,,,,,,,,,,,
0,case,"3,3",,,3,3,,,,,,,,,,,,
1,,"0,1",kĩ thuật oto,,0,1,,,,,,,,,,,,
1,,"1,1",,,1,1,,,,,,,,,,,,
0,criteria,"1,2",đại trà,,1,2,,,,,,,,,,,,
1,,"1,1",,,1,1,,,,,,,,,,,,
1,,"0,1",kỹ thuật oto,,0,1,,,,,,,,,,,,
1,,"1,1",,,1,1,,,,,,,,,,,,
1,,"1,1",,,1,1,,,,,,,,,,,,
1,,"1,1",,,1,1,,,,,,,,,,,,
0,not,0,,,0,0,,,,,,,,,,,,
1,case,"1,1",,,1,1,,,,,,,,,,,,
1,,"2,2",,,2,2,,,,,,,,,,,,
0,case,"0,1",ưu tiên xét tuyển,,0,1,,,,,,,,,,,,
1,kstn -> daitra,"1,1",,,1,1,,,,,,,,,,,,
1,,0,,,0,0,,,,,,,,,,,,
1,,0,,,0,0,,,,,,,,,,,,
1,,"1,1",,,1,1,,,,,,,,,,,,
1,,"0,1",điện tử viễn thông,,0,1,,,,,,,,,,,,
0,point,"0,1",công nghệ thông tin,,0,1,,,,,,,,,,,,
1,,"1,1",,,1,1,,,,,,,,,,,,
1,,"1,1",,,1,1,,,,,,,,,,,,
0,point,"2,2",,,2,2,,,,,,,,,,,,
1,,"1,1",,,1,1,,,,,,,,,,,,
1,,"1,1",,,1,1,,,,,,,,,,,,
1,,"1,1",,,1,1,,,,,,,,,,,,
1,,0,,,0,0,,,,,,,,,,,,
1,,"1,1",,,1,1,,,,,,,,,,,,
1,,"1,1",,,1,1,,,,,,,,,,,,
1,,"0,1",công nghệ thực phẩm,,0,1,,,,,,,,,,,,
1,,"1,1",,,1,1,,,,,,,,,,,,
1,,0,,,0,0,,,,,,,,,,,,
1,,"2,3",công nghệ thông tin,,2,3,,,,,,,,,,,,
1,,"1,1",,,1,1,,,,,,,,,,,,
1,,"1,1",,,1,1,,,,,,,,,,,,
1,,"1,1",,,1,1,,,,,,,,,,,,
1,,"0,1",xét tuyển,,0,1,,,,,,,,,,,,
1,,"0,1",xây dựng,,0,1,,,,,,,,,,,,
1,,"1,1",,,1,1,,,,,,,,,,,,
1,,"1,1",,,1,1,,,,,,,,,,,,
1,,0,,,0,0,,,,,,,,,,,,
1,,"1,1",,,1,1,,,,,,,,,,,,
1,,"1,1",,,1,1,,,,,,,,,,,,
0,case,"0,1",dgnl,,0,1,,,,,,,,,,,,
1,,"0,1",công nghệ nhiệt,,0,1,,,,,,,,,,,,
0,case,0,,,0,0,,,,,,,,,,,,
1,,0,,,0,0,,,,,,,,,,,,
0,criteria + case,"1,1",,,1,1,,,,,,,,,,,,
1,,"3,3",,,3,3,,,,,,,,,,,,
1,,"1,1",,,1,1,,,,,,,,,,,,
1,,"2,2",,,2,2,,,,,,,,,,,,
1,,0,,,0,0,,,,,,,,,,,,
1,,"0,1",oto,,0,1,,,,,,,,,,,,
1,,"1,1",,,1,1,,,,,,,,,,,,
0,criteria,"1,1",,,1,1,,,,,,,,,,,,
1,,"0,1",tuyển thẳng,,0,1,,,,,,,,,,,,
1,,"0,1",điện,,0,1,,,,,,,,,,,,
0,major+type,"2,3",thường~đại trà,,2,3,,,,,,,,,,,,
1,,"1,1",,,1,1,,,,,,,,,,,,
1,,"3,3",,,3,3,,,,,,,,,,,,
1,,"1,1",,,1,1,,,,,,,,,,,,
1,,"2,2",,,2,2,,,,,,,,,,,,
1,,"0,1",logistics,,0,1,,,,,,,,,,,,
1,,"0,1",điện,,0,1,,,,,,,,,,,,
1,,"2,2",,,2,2,,,,,,,,,,,,
0,subject+major,"2,2",,,2,2,,,,,,,,,,,,
0,subject+major,"1,1",,,1,1,,,,,,,,,,,,
0,criteria,0,,,0,0,,,,,,,,,,,,
1,,"1,1",,,1,1,,,,,,,,,,,,
1,,"2,2",,,2,2,,,,,,,,,,,,
1,,"1,1",,,1,1,,,,,,,,,,,,
1,,"1,1",,,1,1,,,,,,,,,,,,
0,type+major,"3,3",,,3,3,,,,,,,,,,,,
0,case,"1,1",,,1,1,,,,,,,,,,,,
1,,"1,1",,,1,1,,,,,,,,,,,,
0,major,"1,2",kỹ thuật máy tính,,1,2,,,,,,,,,,,,
1,,0,,,0,0,,,,,,,,,,,,
1,,"1,1",,,1,1,,,,,,,,,,,,
1,,"1,1",,,1,1,,,,,,,,,,,,
1,,"1,1",,,1,1,,,,,,,,,,,,
1,,"1,1",,,1,1,,,,,,,,,,,,
1,,"1,2",hsgqg,,1,2,,,,,,,,,,,,
0,case,0,,,0,0,,,,,,,,,,,,
1,,"1,1",,,1,1,,,,,,,,,,,,
1,,"1,1",,,1,1,,,,,,,,,,,,
1,,"0,1",lkqt,,0,1,,,,,,,,,,,,
1,,"1,1",,,1,1,,,,,,,,,,,,
1,,"2,2",,,2,2,,,,,,,,,,,,
1,,"0,1",chương trình lk,,0,1,,,,,,,,,,,,
0,type,"1,2",chương trình lk,,1,2,,,,,,,,,,,,
0,career,"1,1",,,1,1,,,,,,,,,,,,
1,,0,,,0,0,,,,,,,,,,,,
1,,0,,,0,0,,,,,,,,,,,,
0,type+major,"2,2",,,2,2,,,,,,,,,,,,
0,type,"3,3",,,3,3,,,,,,,,,,,,
0,career,"1,1",,,1,1,,,,,,,,,,,,
0,major + type,"3,3",,,3,3,,,,,,,,,,,,
1,,"1,1",,,1,1,,,,,,,,,,,,
0,case,0,,,0,0,,,,,,,,,,,,
1,,"0,1",ưu tiên xét tuyển,,0,1,,,,,,,,,,,,
1,,"1,1",,,1,1,,,,,,,,,,,,
1,,"1,1",,,1,1,,,,,,,,,,,,
0,case,0,,,0,0,,,,,,,,,,,,
0,type+major,"2,2",cong nghe hoa hoc,,2,2,,,,,,,,,,,,
0,type,"1,2",chuong trinh lien ket,,1,2,,,,,,,,,,,,
1,,"1,1",,,1,1,,,,,,,,,,,,
1,,0,,,0,0,,,,,,,,,,,,
1,,"0,1",uu tien xet tuyen,,0,1,,,,,,,,,,,,
